F1,F2,F3,F4,F5,F6,F7,F8,F9,cycle_life
-1.847983875,-4.365844849,2.22E-06,1.042915765,1.040888,10.05181867,3073.822689,0,0,857
-1.641734916,-4.154964642,-3.20E-05,1.050626591,1.0485864,10.05190433,3406.728717,0,0,761
-1.970275392,-3.813769973,-4.34E-06,1.055041071,1.0528909,10.05232867,3574.930528,0,0,743
-1.643727914,-4.060370804,9.65E-06,1.04993951,1.0472015,10.05134733,3560.085335,0,0,778
-1.545445037,-3.995043228,6.05E-06,1.043333139,1.0403235,12.56472633,3409.640811,0,0,657
-1.973221203,-4.277147749,1.26E-05,1.039943933,1.0372031,10.05131233,3409.703857,0,0,914
-1.60124097,-4.089715801,2.42E-06,1.03876381,1.0365249,10.69739067,3492.928129,0,0,707
-1.421891088,-3.799090908,1.22E-05,1.055053835,1.0520411,12.56061967,3260.604527,0,0,530
-1.69872308,-4.213561456,1.31E-05,1.051985638,1.0493239,10.05204433,3275.08855,0,0,678
-1.29945518,-3.547510259,-3.32E-06,1.061513632,1.0581099,10.051069,3286.762853,0,0,443
-1.729579571,-4.305136842,8.98E-06,1.06468389,1.0622921,10.05287933,3269.792687,0,0,873
-1.743071122,-4.28867392,5.90E-06,1.061968484,1.0595437,10.051816,3329.627635,0,0,864
-1.685180939,-4.213531412,6.24E-06,1.06100719,1.0582842,10.053315,3427.787837,0,0,819
-1.62816911,-4.161900164,2.26E-05,1.069056096,1.0661443,10.05186833,3143.819148,0,0,772
-1.490345451,-3.935996851,1.07E-05,1.063310434,1.0608871,10.05170833,3330.412035,0,0,608
-1.621887437,-4.1220041,8.27E-06,1.064848016,1.0619049,10.05113933,3296.993048,0,0,676
-1.703523914,-4.267486263,1.20E-06,1.059233741,1.0568949,10.05438233,3405.896392,0,0,910
-1.715473818,-4.323348819,-2.43E-06,1.041829539,1.0399547,10.051766,3441.805347,0,0,828
-1.847250332,-4.38031729,-7.26E-06,1.053694686,1.0509504,10.05204533,3209.797048,0,0,907
-1.670340272,-4.141488702,-6.81E-06,1.05231187,1.0501964,10.052641,3487.15879,0,0,992
-1.727690865,-4.257538624,-2.81E-05,1.046903629,1.0449144,10.05431133,3455.737791,0,0,748
-1.726900772,-4.160542065,1.37E-05,1.058280827,1.055334,10.05275233,3008.454638,0,0,774
-1.484862628,-3.90050919,-1.64E-05,1.05299272,1.0505757,12.56462367,3461.18861,0,0,672
-1.780435234,-4.195554342,4.90E-06,1.050693149,1.0484043,10.05163467,3297.701997,0,0,1039
-1.888329659,-4.226726406,2.76E-06,1.047882155,1.0457271,10.051511,3225.358422,0,0,989
-1.384026043,-3.713208442,1.93E-05,1.036530387,1.0331953,10.04867733,3152.41259,0,0,454
-1.362288089,-3.711027501,-2.28E-06,1.039545211,1.0366046,10.05005033,3400.899518,0,0,477
-1.436792977,-3.825320239,4.68E-06,1.04003435,1.036779,12.56648167,3099.275385,0,0,501
-1.638977744,-4.11973974,7.22E-06,1.067184139,1.064672,10.051586,3148.238686,0,0,829
-1.713305213,-4.23162165,-1.46E-05,1.067897362,1.0659338,10.05571133,3405.412077,0,0,888
-1.636562819,-4.124757814,-2.67E-06,1.052383399,1.0495136,10.05201767,3081.555922,0,0,616
-1.461252836,-3.864256899,-3.32E-07,1.054570945,1.0516968,10.05093267,3044.842235,0,0,560
-1.605461864,-4.113844161,5.14E-06,1.057618696,1.0548424,10.053479,3054.71529,0,0,755
-1.328989895,-3.621198516,-5.85E-06,1.066670407,1.0641173,10.05606533,3391.310655,0,0,506
-1.929614625,-4.5207002,-9.37E-07,1.052112597,1.05024,10.05321667,3118.513681,0,0,892
-1.899072427,-4.205446954,-6.70E-06,1.056482743,1.0538011,10.05317433,3186.608135,0,0,1082
-1.438021857,-3.816835323,-1.48E-05,1.061684511,1.0591965,10.05291133,3195.345791,0,0,600
-1.750352661,-4.312752092,-5.78E-06,1.04544787,1.0432017,10.053503,3173.573749,0,0,864
-1.848723983,-4.318181458,2.72E-06,1.060124787,1.0575176,10.053185,3102.655372,0,0,1166
-1.597157528,-4.043818214,-5.98E-06,1.050311817,1.0486457,10.054004,3426.610376,0,0,739
-1.76406771,-4.473508895,-2.76E-06,1.061183008,1.0585998,10.05358033,3170.85148,0,0,1089
-1.746402282,-4.291612276,1.57E-05,1.059199852,1.0563668,10.05316233,3365.535407,0,0,837
-1.729925834,-4.195927972,1.84E-05,1.052788086,1.0496252,10.05345633,3433.910379,0,0,775
-1.737047905,-4.217419491,2.03E-05,1.04446211,1.0414901,10.053106,3035.201371,0,0,751
-1.727016049,-4.248081769,1.81E-05,1.046357867,1.0440243,10.05262067,3377.319785,0,0,943
