cell_key,D1/F1,V1/D2/F2,D3,D4,F3,F4,D5/F5,D6,F6,F7,F8,F9,cycle_life
b1c0,-2.050261434472745,-5.05152650567645,-0.13864328444408605,-0.040960071154142325,-0.00020680701298701344,1.0911437324098123,1.0706892,0.46836520000000004,13.374893999999992,3.490990940465505,0.016443744,-7.520000000000096e-05,1852.0
b1c1,-2.045149878424103,-5.135776157670656,-0.4990003624714304,0.016426112174507235,5.535292517007067e-06,1.0809645798796124,1.0753012,0.009288300000000138,13.409150000000002,3.48718025778198,0.0,-4.199100000000164e-05,2160.0
b1c2,-1.986994080593585,-4.951882733169134,-0.35903856164480286,0.06957153100756318,1.0295625231910918e-05,1.0848461200828694,1.0799223,0.008131200000000005,13.358242333333328,3.4892321761839513,0.0,-1.3807000000001096e-05,2237.0
b1c3,-1.7033213351118928,-4.386347705983305,-0.32209258806005253,0.05085105599337192,1.713634755720455e-05,1.0840750159715524,1.0797229,0.006530099999999983,12.025139666666673,3.467525062650768,0.0,3.858100000000281e-05,1434.0
b1c4,-1.8373966800088448,-4.604779244757431,-0.45694477894316154,0.13391034012635664,1.8994317872603454e-05,1.0818748211016282,1.0784167,0.005899899999999958,12.041850666666674,3.4888759959609636,0.0,-5.331399999999875e-05,1709.0
b1c5,-1.5836357259876548,-4.155832104301828,-0.8498689201717263,0.07640861267543814,1.1228400742114999e-05,1.0797547949964956,1.0761266,0.005943800000000055,10.967849666666668,3.4814484114877855,0.015922785,-0.0001118670000000016,1074.0
b1c6,-1.4142291992982903,-3.771282900446616,-0.4051041723192517,0.08279246669150042,-4.8086468769325776e-06,1.0811570258392085,1.0758358,0.006303200000000064,10.07647899999999,3.50006087323171,0.0,-0.0003333460000000017,636.0
b1c7,-1.4288569192482274,-3.8218343867297078,-0.5104626031057776,0.04626371871693304,-6.428188002473626e-06,1.0972542699113585,1.0938644,0.004104200000000002,10.02508166666667,3.496217145694564,0.0,-3.842100000000029e-05,870.0
b1c9,-1.528094578572831,-3.9786447664056386,-0.33765325444417066,0.08095262349535781,1.8204385899814518e-05,1.0867714248039577,1.0829742,0.005975700000000028,11.207955999999994,3.5049623869352353,0.016611163,-3.366599999999817e-05,1054.0
b1c11,-1.598897340840833,-4.099071517851837,-0.2178750210963923,0.07322367669165852,2.1809402597402885e-05,1.0589716063261183,1.0537786,0.009460400000000035,11.668875999999987,3.506583599414393,0.0,-0.0003035779999999988,788.0
b1c14,-1.5481536730053467,-4.048738886513733,-0.5792601185168589,0.1133527187533256,2.6234124922696285e-05,1.0747649768006595,1.0709661,0.006877699999999987,10.764334,3.510711180368465,0.016649306,-6.811500000000054e-05,880.0
b1c15,-1.5401256181623297,-4.025167590102825,-0.3311784638540197,0.08923810922007591,2.9049360544217995e-05,1.0661753684708306,1.0611236,0.008215100000000142,10.797705666666673,3.5116472728736103,0.016542939,-0.0002532960000000001,719.0
b1c16,-1.5594277738622802,-4.101591309254797,-1.0848808565170447,0.09260794509105241,2.3160274582560203e-05,1.085288382561946,1.0811664,0.007425499999999863,10.11310766666668,3.502010317022937,0.0,-1.4819000000002719e-05,862.0
b1c17,-1.5195208556855826,-3.997218107234343,-0.5232906243657246,0.10878737922594957,1.788623129251757e-05,1.076194038567718,1.072052,0.007173799999999897,10.146880666666664,3.497610010734289,0.016238289,2.2162999999998656e-05,857.0
b1c18,-1.3630779264684996,-3.664001737186456,-1.1845836149430844,0.14085906297490886,-0.0002945415905998764,1.1014650039488767,1.0661705,1.8179140000000003,9.958173666666676,3.4941519950409505,0.015845969,-0.003994543,691.0
b1c19,-1.350035823838756,-3.6343701367071035,-0.539012389137106,0.11886515076877173,-1.035584539270271e-05,1.0888966198321994,1.0851147,0.004190699999999881,9.924738333333329,3.5103337737975755,0.016205151,-6.60869999999994e-05,788.0
b1c20,-1.2038665836444875,-3.363507130071331,-0.5921351812684882,0.03738303675577374,-0.0001397761818181818,1.076969671131313,1.07263,0.003094200000000047,9.021115000000016,3.4984448270817556,0.0,-0.000580528000000002,534.0
b1c21,-1.190852909395032,-3.3422972190384663,-1.0177493937293582,0.06027515784149938,-8.178444155844161e-05,1.0863975044992784,1.0824388,0.0034874000000000294,8.964706333333336,3.5115538665413797,0.0,-0.0002038070000000003,559.0
b1c23,-1.5244336066931528,-4.029666035704335,-0.908884030764823,0.09512034048571583,-6.9509103277674005e-06,1.0828155540024738,1.0792934,0.004492999999999858,11.447006333333357,3.496237919350338,0.016472535,-9.143999999999125e-06,1014.0
b1c24,-1.4880158027614023,-3.9250816786805744,-0.4886530837644536,0.10626319401017656,2.024258503401465e-06,1.0779299496850132,1.0745355,0.004539499999999919,12.147216,3.514703343138215,0.016390581,-4.86200000000131e-06,1017.0
